BEA Detail,Year,Country,Import Quantity,Unit,Source,BEA Summary,CountryCode,Region,cntry_cntrb_to_national_detail,cntry_cntrb_to_region_detail,cntry_cntrb_to_national_summary,cntry_cntrb_to_region_summary
332310,2019,Saudi Arabia,0.0,USD,Census,332,WM,ROW,0.0,0.0,0.0,0.0
332320,2019,Saudi Arabia,435183.0,USD,Census,332,WM,ROW,0.0002057968556866166,0.0017813184429378436,5.533499227255231e-06,0.00025706912537938614
332410,2019,Saudi Arabia,516554.0,USD,Census,332,WM,ROW,0.00023096210043716247,0.005879522120513392,6.568159049952775e-06,0.0003051361955573251
332420,2019,Saudi Arabia,52362.0,USD,Census,332,WM,ROW,3.681803518002145e-05,0.0013062636090954386,6.658005632975976e-07,3.09310187739765e-05
332430,2019,Saudi Arabia,7240.0,USD,Census,332,WM,ROW,5.1039684182789535e-06,0.00035958063362279575,9.205905195131214e-08,4.276776592253731e-06
332500,2019,Saudi Arabia,252162.0,USD,Census,332,WM,ROW,2.934631956826184e-05,0.0024857947754126485,3.2063252290257973e-06,0.00014895587556020516
332600,2019,Saudi Arabia,1987896.0,USD,Census,332,WM,ROW,0.0005599373291214177,0.02273681664871321,2.5276770875387514e-05,0.0011742799835130972
332720,2019,Saudi Arabia,11855.0,USD,Census,332,WM,ROW,1.9047944420832857e-06,0.0005150342203420227,1.5074033990093997e-07,7.00292631231602e-06
332913,2019,Saudi Arabia,0.0,USD,Census,332,WM,ROW,0.0,0.0,0.0,0.0
33291A,2019,Saudi Arabia,1278407.0,USD,Census,332,WM,ROW,7.385160627178651e-05,0.0037354761150599587,1.625537795965761e-05,0.0007551741896371983
332991,2019,Saudi Arabia,10026.0,USD,Census,332,WM,ROW,2.3414976408080075e-06,0.00015208512944642514,1.274839854784331e-07,5.922508579272915e-06
332999,2019,Saudi Arabia,55770.0,USD,Census,332,WM,ROW,4.523856325271525e-06,0.0004920757105200034,7.091344374757842e-07,3.294417549033019e-05
33299A,2019,Saudi Arabia,3848.0,USD,Census,332,WM,ROW,1.5290809022288775e-06,1.5425652912907857e-05,4.892862319180236e-08,2.2730713158829223e-06
333111,2019,Saudi Arabia,4058355.0,USD,Census,333,WM,ROW,0.0004364891275462271,0.021191328345869873,2.089956554851151e-05,0.0008516221574514066
333112,2019,Saudi Arabia,0.0,USD,Census,333,WM,ROW,0.0,0.0,0.0,0.0
333120,2019,Saudi Arabia,953643.0,USD,Census,333,WM,ROW,3.9450267663732456e-05,0.0006948277415577504,4.91103523185605e-06,0.00020011642872504545
333130,2019,Saudi Arabia,492306.0,USD,Census,333,WM,ROW,0.00019901431356278884,0.004815169106032448,2.5352591177769087e-06,0.00010330754649267307
333242,2019,Saudi Arabia,17157.0,USD,Census,333,WM,ROW,1.1234330559442646e-06,0.00024671918984648365,8.835448010728779e-08,3.6002965130930597e-06
33329A,2019,Saudi Arabia,65443.0,USD,Census,333,WM,ROW,4.733709517254436e-06,0.00015990976342117392,3.3701592595799005e-07,1.3732832354511226e-05
333314,2019,Saudi Arabia,5048.0,USD,Census,333,WM,ROW,8.280558134623984e-07,1.629664659241349e-05,2.599600254016371e-08,1.059293396170296e-06
333316,2019,Saudi Arabia,2311.0,USD,Census,333,WM,ROW,1.4076345831202044e-06,6.142427123597328e-05,1.190110179681425e-08,4.849498887776453e-07
333318,2019,Saudi Arabia,87755.0,USD,Census,333,WM,ROW,2.0681627655479573e-05,0.002936523475439698,4.51917433223468e-07,1.841487559051591e-05
333413,2019,Saudi Arabia,726362.0,USD,Census,333,WM,ROW,0.00022767497936008465,0.0112462831056167,3.740591996251663e-06,0.00015242283475218866
333414,2019,Saudi Arabia,0.0,USD,Census,333,WM,ROW,0.0,0.0,0.0,0.0
333415,2019,Saudi Arabia,3764080.0,USD,Census,333,WM,ROW,0.0003057774512344749,0.020080431086750904,1.938411910486914e-05,0.000789870262808377
333511,2019,Saudi Arabia,0.0,USD,Census,333,WM,ROW,0.0,0.0,0.0,0.0
333514,2019,Saudi Arabia,0.0,USD,Census,333,WM,ROW,0.0,0.0,0.0,0.0
333517,2019,Saudi Arabia,199597.0,USD,Census,333,WM,ROW,2.4532938703234404e-05,0.003208601676641747,1.0278772026563106e-06,4.188426782793236e-05
33351B,2019,Saudi Arabia,13177.0,USD,Census,333,WM,ROW,3.486869610323025e-06,4.1901720841380446e-05,6.785842422181798e-08,2.7651166959857347e-06
333611,2019,Saudi Arabia,1022615.0,USD,Census,333,WM,ROW,0.00022556281726715828,0.0028641517355925154,5.2662246706833426e-06,0.0002145898011736702
333612,2019,Saudi Arabia,51608.0,USD,Census,333,WM,ROW,1.0888676664297174e-05,0.0010333409226732494,2.6576895782344864e-07,1.0829638191275084e-05
333613,2019,Saudi Arabia,28674.0,USD,Census,333,WM,ROW,1.1148581956188067e-05,0.0012236175860910602,1.4766429810551787e-07,6.017071878325488e-06
333618,2019,Saudi Arabia,276250.0,USD,Census,333,WM,ROW,1.895246221171812e-05,0.00048391882901642323,1.4226219694374456e-06,5.7969453385904165e-05
333912,2019,Saudi Arabia,1082714.0,USD,Census,333,WM,ROW,0.0001660222128150557,0.01007021725578009,5.575720264316722e-06,0.00022720122625616594
333914,2019,Saudi Arabia,7711005.0,USD,Census,333,WM,ROW,0.0013950004231076416,0.08435491765440402,3.9709846586215344e-05,0.0016181094838225302
333920,2019,Saudi Arabia,469493.0,USD,Census,333,WM,ROW,4.7001484399185815e-05,0.015556975530417936,2.4177775793559987e-06,9.852037132491694e-05
333991,2019,Saudi Arabia,0.0,USD,Census,333,WM,ROW,0.0,0.0,0.0,0.0
333993,2019,Saudi Arabia,0.0,USD,Census,333,WM,ROW,0.0,0.0,0.0,0.0
333994,2019,Saudi Arabia,7912.0,USD,Census,333,WM,ROW,8.45083215703133e-06,0.00031049781252485856,4.0744923157245496e-08,1.6602871138073257e-06
33399A,2019,Saudi Arabia,548654.0,USD,Census,333,WM,ROW,3.0417936912400937e-05,0.0024823401326018292,2.8254379512026507e-06,0.00011513184607417145
33399B,2019,Saudi Arabia,738116.0,USD,Census,333,WM,ROW,0.00011362740787512423,0.01333460082461364,3.8011223080300074e-06,0.00015488934318693226
334111,2019,Saudi Arabia,146843.0,USD,Census,334,WM,ROW,1.978666102713181e-06,0.0022173414392791775,3.7268042392472426e-07,3.726071461729862e-05
334112,2019,Saudi Arabia,8020.0,USD,Census,334,WM,ROW,1.1082218379830717e-06,8.419441544531224e-05,2.0354371675029034e-08,2.0350369526006342e-06
334118,2019,Saudi Arabia,199543.0,USD,Census,334,WM,ROW,8.501676149274959e-06,0.0016020555973498927,5.064304722132567e-07,5.0633089605085824e-05
334210,2019,Saudi Arabia,0.0,USD,Census,334,WM,ROW,0.0,0.0,0.0,0.0
334220,2019,Saudi Arabia,657623.0,USD,Census,334,WM,ROW,6.019402403272788e-06,0.0008358734865987061,1.6690153321755137e-06,0.0001668687164439011
334290,2019,Saudi Arabia,93399.0,USD,Census,334,WM,ROW,5.4285955116001025e-05,0.005821444173653669,2.3704213966035373e-07,2.369955315909559e-05
334300,2019,Saudi Arabia,258842.0,USD,Census,334,WM,ROW,8.197504488778033e-06,0.00240698227765587,6.569284629810306e-07,6.56799295367897e-05
334413,2019,Saudi Arabia,56245.0,USD,Census,334,WM,ROW,1.3453319163569014e-06,0.0001889805588984195,1.4274708664114814e-07,1.4271901920077639e-05
334418,2019,Saudi Arabia,34979.0,USD,Census,334,WM,ROW,1.981618376619928e-06,0.0004030434731108393,8.877500833177563e-08,8.875755307358801e-06
33441A,2019,Saudi Arabia,3239813.0,USD,Census,334,WM,ROW,0.00020301065270489664,0.007136977796734841,8.222488523639756e-06,0.0008220871788673214
334510,2019,Saudi Arabia,42848.0,USD,Census,334,WM,ROW,3.232817527516177e-06,5.1517003645257234e-05,1.087461493181601e-07,1.0872476726313213e-05
334511,2019,Saudi Arabia,245297.0,USD,Census,334,WM,ROW,3.695751516095514e-05,0.002330748641153598,6.225519088241392e-07,6.224295004514685e-05
334512,2019,Saudi Arabia,9157.0,USD,Census,334,WM,ROW,5.918684789410177e-06,0.0002298629557911056,2.324002262197517e-08,2.3235453085990034e-06
334513,2019,Saudi Arabia,1452028.0,USD,Census,334,WM,ROW,0.00018040737435766132,0.009743245405616602,3.6851767574250697e-06,0.00036844521648513636
334514,2019,Saudi Arabia,14200.0,USD,Census,334,WM,ROW,5.824299931299306e-06,0.0002059901530324057,3.603891244207136e-08,3.6031826342804246e-06
334515,2019,Saudi Arabia,662744.0,USD,Census,334,WM,ROW,8.693227989601835e-05,0.002368198619834581,1.6820121822188831e-06,0.00016816814589954546
334516,2019,Saudi Arabia,148916.0,USD,Census,334,WM,ROW,2.0897749015178843e-05,0.0014443880858448542,3.779415975509506e-07,3.778672853285237e-05
334517,2019,Saudi Arabia,19313.0,USD,Census,334,WM,ROW,4.47161193102173e-06,0.00011680480807369735,4.901545887279747e-08,4.900582127877313e-06
33451A,2019,Saudi Arabia,11018.0,USD,Census,334,WM,ROW,1.4970500101004543e-06,9.908428779674386e-05,2.7963150513150862e-08,2.795765229894487e-06
334610,2019,Saudi Arabia,27606.0,USD,Census,334,WM,ROW,2.500530358403894e-06,0.0007968111620757372,7.006269132928324e-08,7.004891535348268e-06
335110,2019,Saudi Arabia,0.0,USD,Census,335,WM,ROW,0.0,0.0,0.0,0.0
335120,2019,Saudi Arabia,9358.0,USD,Census,335,WM,ROW,6.874509999107134e-07,0.0004015947405250806,7.317820469965269e-08,4.017259394723734e-06
335210,2019,Saudi Arabia,18776.0,USD,Census,335,WM,ROW,1.3323943812366635e-06,0.0001599970891028101,1.4682560070962586e-07,8.060275955902205e-06
335220,2019,Saudi Arabia,0.0,USD,Census,335,WM,ROW,0.0,0.0,0.0,0.0
335311,2019,Saudi Arabia,41676.0,USD,Census,335,WM,ROW,1.5090266455554384e-05,0.0006201095196497687,3.259002841486135e-07,1.7890927819459964e-05
335312,2019,Saudi Arabia,160166.0,USD,Census,335,WM,ROW,1.1583731834725596e-05,0.00035972757792746387,1.2524749234798646e-06,6.875703870648873e-05
335313,2019,Saudi Arabia,20464.0,USD,Census,335,WM,ROW,1.5027817963429853e-06,2.8873967066774194e-05,1.6002551623997568e-07,8.784910905495458e-06
335314,2019,Saudi Arabia,402182.0,USD,Census,335,WM,ROW,6.093317887920452e-05,0.002182900939668561,3.1450049927886e-06,0.00017265114531831382
